device__attribute_deferred_mapping_cuda_array_supported,1
device__attribute_device_index,0
device__attribute_direct_managed_mem_access_from_host,0
device__attribute_display_name,NVIDIA GeForce RTX 4050 Laptop GPU
device__attribute_dma_buf_supported,0
device__attribute_ecc_enabled,0
device__attribute_fb_bus_width,96
device__attribute_fbp_count,2
device__attribute_generic_compression_supported,1
device__attribute_global_l1_cache_supported,1
device__attribute_global_memory_bus_width,96
device__attribute_gpu_direct_rdma_flush_writes_options,0
device__attribute_gpu_direct_rdma_supported,0
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,0
device__attribute_gpu_direct_rdma_writes_ordering,0
device__attribute_gpu_overlap,1
device__attribute_gpu_pci_device_id,"68,16,44,254"
device__attribute_gpu_pci_ext_device_id,"10,401"
device__attribute_gpu_pci_ext_downstream_link_rate,"32,000"
device__attribute_gpu_pci_ext_downstream_link_width,8
device__attribute_gpu_pci_ext_gen,3
device__attribute_gpu_pci_ext_gpu_gen,3
device__attribute_gpu_pci_ext_gpu_link_rate,"16,000"
device__attribute_gpu_pci_ext_gpu_link_width,8
device__attribute_gpu_pci_revision_id,161
device__attribute_gpu_pci_sub_system_id,"2,34,36,37,052"
device__attribute_handle_type_fabric_supported,0
device__attribute_handle_type_posix_file_descriptor_supported,0
device__attribute_handle_type_win32_handle_supported,1
device__attribute_handle_type_win32_kmt_handle_supported,1
device__attribute_host_native_atomic_supported,0
device__attribute_host_numa_id,0
device__attribute_host_register_supported,1
device__attribute_implementation,407
device__attribute_integrated,0
device__attribute_ipc_event_supported,1
device__attribute_kernel_exec_timeout,1
device__attribute_l2_cache_size,"2,51,65,824"
device__attribute_l2s_count,16
device__attribute_limits_max_cta_per_sm,24
device__attribute_limits_num_tpcs,10
device__attribute_local_l1_cache_supported,1
device__attribute_managed_memory,1
device__attribute_max_access_policy_window_size,"13,42,13,632"
device__attribute_max_block_dim_x,"1,024"
device__attribute_max_block_dim_y,"1,024"
device__attribute_max_block_dim_z,64
device__attribute_max_blocks_per_multiprocessor,24
device__attribute_max_gpu_frequency_khz,"21,30,000"
device__attribute_max_grid_dim_x,"2,14,74,83,647"
device__attribute_max_grid_dim_y,"65,535"
device__attribute_max_grid_dim_z,"65,535"
device__attribute_max_ipc_per_multiprocessor,4
device__attribute_max_ipc_per_scheduler,1
device__attribute_max_mem_frequency_khz,"80,01,000"
device__attribute_max_persisting_l2_cache_size,"1,73,01,504"
device__attribute_max_pitch,"2,14,74,83,647"
device__attribute_max_registers_per_block,"65,536"
device__attribute_max_registers_per_multiprocessor,"65,536"
device__attribute_max_registers_per_thread,255
device__attribute_max_shared_memory_per_block,"49,152"
device__attribute_max_shared_memory_per_block_optin,"1,01,376"
device__attribute_max_shared_memory_per_multiprocessor,"1,02,400"
device__attribute_max_threads_per_block,"1,024"
device__attribute_max_threads_per_multiprocessor,"1,536"
device__attribute_max_warps_per_multiprocessor,48
device__attribute_max_warps_per_scheduler,12
device__attribute_maximum_surface1d_layered_layers,"2,048"
device__attribute_maximum_surface1d_layered_width,"32,768"
device__attribute_maximum_surface1d_width,"32,768"
